Time,Plasma/ CSF/ ER Nicotine,Sequestered Nicotine,Fraction of Activated nAChR
26.0000619305114,3.54280326264696,14.4012514478999,0.104382221891197
26.0000788481374,3.5564651609833,14.4011443884059,0.104429688389257
26.0000957657633,3.57012217115598,14.4010380441048,0.104487774035381
26.0001186117214,3.58855729185538,14.400895568899,0.104582469495025
26.0001414576794,3.60698381721183,14.4007543969283,0.104695085908125
26.0001643036375,3.62540193441081,14.4006145275433,0.104824770838281
26.0001871495956,3.64381182136377,14.4004759601016,0.10497071002465
26.0002099955536,3.66221364378921,14.4003386939826,0.10513214096113
26.0002328415117,3.68060755712892,14.4002027285847,0.105308344711665
26.0002738601833,3.71361343601875,14.3999618724799,0.105659645471215
26.0003148788549,3.74659508291612,14.3997252042039,0.106052667893755
26.0003558975264,3.7795532312174,14.3994927205235,0.106483955653833
26.000396916198,3.81248854723049,14.3992644183011,0.106950340379258
26.0004630090461,3.86551028003729,14.3989053470197,0.107768347458188
26.0005291018943,3.9184765685036,14.3985571115345,0.108658983455455
26.0005951947424,3.97138937832475,14.3982196998954,0.109612613941105
26.0006612875905,4.02425041949759,14.3978931005198,0.110620766128907
26.0007273804386,4.07706117961632,14.3975773021455,0.111675993443677
26.0007934732868,4.12982295012961,14.3972722937939,0.112771765807018
26.0008595661349,4.18253685123077,14.3969780647344,0.1139023641926
26.0009785322697,4.27730349194064,14.3964755868177,0.116009524085222
26.0010974984046,4.37192282447752,14.39600793935,0.118189178299989
26.0012164645394,4.46639846510699,14.3955750640305,0.120422290017235
26.0013354306743,4.56073324387123,14.3951769037356,0.122693877733167
26.0014543968091,4.65492941908094,14.394813402216,0.124992011930792
26.001573362944,4.74898878509049,14.3944845039472,0.127307270905237
26.0016923290788,4.84291274674397,14.3941901540253,0.129632350862362
26.0018112952137,4.93670240825938,14.3939302980402,0.131961622642159
26.0019302613485,5.03035866001605,14.3937048819514,0.134290700394137
26.0021582213793,5.20945028546162,14.3933689727805,0.138741382977931
26.002315673486,5.33286660696115,14.3932104825603,0.141798746970814
26.0024731255927,5.45605341121362,14.3931119228638,0.14483801861746
26.0026305776993,5.57901147628607,14.3930731710982,0.147856839911815
26.002788029806,5.70174146495089,14.3930941050481,0.15085362721913
26.0029454819127,5.82424398558017,14.3931746027867,0.153827233533442
26.0031029340193,5.94651959705018,14.3933145426716,0.15677687095722
26.003260386126,6.06856880349893,14.3935138033551,0.159702096162561
26.0035040264921,6.25698181256367,14.3939387718916,0.164180019532886
26.0037476668582,6.44485545876033,14.3945050424136,0.168598975223067
26.0039913072244,6.63219130145855,14.3952121687943,0.172959443248217
26.0042349475905,6.81899087320092,14.3960597061755,0.177262130856507
26.0044785879566,7.00525568907115,14.3970472109597,0.181507866232897
26.0047222283228,7.1909872460482,14.3981742408126,0.185697573990729
26.0051594863461,7.52298452349189,14.4005454073928,0.193079419487175
26.0055967443695,7.85327752585348,14.4033620105366,0.200289875337958
26.0060340023928,8.18187474785048,14.4066215234387,0.20733477089496
26.0064712604161,8.50878468301383,14.4103214320615,0.214219664466669
26.0069085184395,8.83401581924256,14.4144592351239,0.220949847102078
26.0077032309806,9.42084971737427,14.4230927329569,0.23280224801804
26.0084979435216,10.0022167946024,14.4331496709259,0.244189125477602
26.009842355722,10.9734081867268,14.4533626918401,0.262466153172152
26.0111867679225,11.9293425910402,14.4775371271044,0.279602605738077
26.0121776351596,12.624266426299,14.4978496810399,0.291562256482522
26.0131685023967,13.3111297753314,14.5202492455076,0.302994921388721
26.0141593696339,13.9900278616864,14.5447088549374,0.313934485533527
26.015150236871,14.6610552335058,14.5712018660465,0.324411566613184
26.0169894153317,15.8860255074451,14.6256767664357,0.342726463512739
26.0181894991302,16.6711688476006,14.664871385307,0.353946582951976
26.0193895829287,17.4453185296256,14.7068945902672,0.364637464885365
26.0205896667271,18.2086348498881,14.7517019260088,0.374834942389795
26.0217897505256,18.9612761887475,14.7992495909034,0.384571737631082
26.0229898343241,19.7033990670956,14.8494944293966,0.393877165788624
26.0241899181225,20.4351578950729,14.9023939235084,0.402779162988345
26.025390001921,21.1567053270293,14.9579061846088,0.411301816282446
26.0265900857195,21.8681917847945,15.0159899449598,0.419469146077438
26.0277901695179,22.5697658760007,15.0766045495435,0.42730212323428
26.0289902533164,23.2615740603829,15.1397099477188,0.434821422238512
26.0301903371149,23.9437611844874,15.2052666855008,0.442043453552118
26.0313904209133,24.6164699914877,15.2732358976693,0.448984239668028
26.0325905047118,25.2798409263299,15.3435792990365,0.455661370606896
26.0337905885103,25.9340128232051,15.4162591763323,0.462088656019475
26.0349906723087,26.5791226071139,15.4912383805478,0.468278700179362
26.0361907561072,27.2153052489535,15.5684803192067,0.474243536108139
26.0373908399056,27.8426936310957,15.6479489481693,0.479995739480466
26.0385909237041,28.4614188954546,15.7296087637268,0.485546121686831
26.0397910075026,29.0716103621305,15.8134247950546,0.490904231134397
26.040991091301,29.6733954351186,15.8993625966287,0.496079880678126
26.0421911750995,30.2668997124855,15.9873882406558,0.501081527666025
26.043391258898,30.8522469546272,16.0774683095282,0.505917645086015
26.0445913426964,31.4295591987342,16.1695698884981,0.51059515964391
26.0457914264949,31.9989566282391,16.2636605583147,0.515122299913249
26.0469915102934,32.5605576574572,16.3597083878733,0.519506935877617
26.0481915940918,33.1144791006952,16.4576819272249,0.523754177515485
26.0493916778903,33.6608361013949,16.5575502007859,0.527868638927981
26.0505917616888,34.199741943736,16.6592827002168,0.531857555561656
26.0517918454872,34.7313081810696,16.7628493771675,0.5357282165824
26.0529919292857,35.2556450564646,16.8682206368491,0.539482623551517
26.0541920130842,35.7728609540653,16.9753673314246,0.543126493968402
